time,open,high,low,close,Volume,Volume MA
2020-01-30T09:00:00-03:00,4247,4273,4239,4264.454,476005,348867.75
2020-01-31T09:00:00-03:00,4269,4296,4253,4288.873,546625,360303
2020-02-03T09:00:00-03:00,4275,4279.5,4236,4254.461,330065,362446
2020-02-04T09:00:00-03:00,4239.5,4268,4229,4254.572,341400,360803.25
2020-02-05T09:00:00-03:00,4252.5,4266,4232.5,4258.351,389935,362821.5
2020-02-06T09:00:00-03:00,4222,4291,4213.5,4280.137,526405,371866.25
2020-02-07T09:00:00-03:00,4301,4328.5,4291.5,4320.469,408740,373983.75
2020-02-10T09:00:00-03:00,4315.5,4333.5,4308.5,4328.765,265895,367871.75
2020-02-11T09:00:00-03:00,4317.5,4344,4301,4341.296,364480,367152
2020-02-12T09:00:00-03:00,4327,4358.5,4326,4347.618,321965,363118.75
2020-02-13T09:00:00-03:00,4382,4385.5,4311.5,4345.014,485505,371605.5
2020-02-14T09:00:00-03:00,4325,4336.5,4293,4306.145,355885,373396.5
2020-02-17T09:00:00-03:00,4305.5,4333.5,4305,4332.025,152665,375115.5
2020-02-18T09:00:00-03:00,4349,4365.5,4339,4360.454,289295,372314.5
2020-02-19T09:00:00-03:00,4367.5,4378,4360.5,4369.755,273130,371702.75
2020-02-20T09:00:00-03:00,4383,4399.5,4359,4394.622,372085,371297.75
2020-02-21T09:00:00-03:00,4408,4409,4373,4390.477,353355,374090.75
2020-02-26T09:00:00-03:00,4415.5,4455.5,4405,4439.063,341865,373867.5
2020-02-27T09:00:00-03:00,4451.5,4502,4448.5,4472.827,570910,381324
2020-02-28T09:00:00-03:00,4506,4522.5,4473.5,4511.61,694010,393011
2020-03-02T09:00:00-03:00,4509.5,4514.5,4477,4488.203,452700,391845.75
2020-03-03T09:00:00-03:00,4482.5,4526,4460.5,4514.994,604840,394756.5
2020-03-04T09:00:00-03:00,4526,4596.5,4511.5,4578.38,507335,403620
2020-03-05T09:00:00-03:00,4606,4674,4595,4646.256,633620,418231
2020-03-06T09:00:00-03:00,4643.5,4678.5,4618,4637.354,520485,424758.5
2020-03-09T09:00:00-03:00,4763.5,4799,4713.5,4746.659,499860,423431.25
2020-03-10T09:00:00-03:00,4685,4694,4642.5,4653.951,507815,428385
2020-03-11T09:00:00-03:00,4676,4835,4661.5,4749.226,469035,438542
2020-03-12T09:00:00-03:00,5028,5034,4755.5,4812.487,535705,447103.25
2020-03-13T09:00:00-03:00,4709,4885.5,4649,4843.25,493980,455704
2020-03-16T09:00:00-03:00,4980,5073.5,4884.5,5016.06,405685,451713
2020-03-17T09:00:00-03:00,5049,5089.5,4962,4991.704,507855,459311.5
2020-03-18T09:00:00-03:00,5135,5257.5,5056.5,5224.917,462205,474788.5
2020-03-19T09:00:00-03:00,5207.5,5212.5,5070,5103.903,393540,480000.75
2020-03-20T09:00:00-03:00,5000.5,5070,4984,5020.767,338770,483282.75
2020-03-23T09:00:00-03:00,5077,5150,5007.5,5133.598,296435,479500.25
2020-03-24T09:00:00-03:00,5049.5,5108,5045,5088.201,284970,476081
2020-03-25T09:00:00-03:00,5078,5110,4974,4995.58,308750,474425.25
2020-03-26T09:00:00-03:00,5055.5,5066,4974,5001.839,352500,463504.75
2020-03-27T09:00:00-03:00,5063,5128.5,5045,5068.714,344295,446019
2020-03-30T09:00:00-03:00,5116.5,5196.5,5110,5179.375,258860,436327
2020-03-31T09:00:00-03:00,5198,5223,5178,5202.234,439845,428077.25
2020-04-01T09:00:00-03:00,5245,5284,5230.5,5264.67,321615,418791.25
2020-04-02T09:00:00-03:00,5257.5,5293.5,5231.5,5278.629,306180,402419.25
2020-04-03T09:00:00-03:00,5287,5364,5276.5,5321.472,293785,391084.25
2020-04-06T09:00:00-03:00,5315,5319.5,5233,5293.46,273085,379745.5
2020-04-07T09:00:00-03:00,5190.5,5259,5190,5227.067,302855,369497.5
2020-04-08T09:00:00-03:00,5232,5255.5,5118.5,5157.864,292035,360647.5
2020-04-09T09:00:00-03:00,5132,5159,5055.5,5102.17,306955,349210
2020-04-13T09:00:00-03:00,5126,5214.5,5111,5178.802,249260,336974
2020-04-14T09:00:00-03:00,5192,5217.5,5153.5,5184.102,278190,330599.25
