time,open,high,low,close,Volume,Volume MA
2019-11-13T09:00:00-03:00,106600,107260,105620,106589,165250,132608
2019-11-14T09:00:00-03:00,106670,107240,106180,106944,98910,130300.5
2019-11-18T09:00:00-03:00,107750,108210,106630,106681,161935,133313.5
2019-11-19T09:00:00-03:00,107070,107350,105700,106080,107135,133891
2019-11-21T09:00:00-03:00,105810,107758,105810,107758,117540,132133.5
2019-11-22T09:00:00-03:00,107970,108891,107525,108891,108665,131061.25
2019-11-25T09:00:00-03:00,109250,109400,108365,108766,95495,129891
2019-11-26T09:00:00-03:00,108400,108525,106650,107500,153370,131774.5
2019-11-27T09:00:00-03:00,107800,108230,106455,108035,150935,134916.5
2019-11-28T09:00:00-03:00,107785,108650,107380,108539,116480,136543.25
2019-11-29T09:00:00-03:00,108420,109010,107950,108359,131180,136975.25
2019-12-02T09:00:00-03:00,108290,109585,108250,109153,159075,138398
2019-12-03T09:00:00-03:00,109000,109715,108325,109184,153515,140106.25
2019-12-04T09:00:00-03:00,109700,110475,109360,110428,118365,140338.5
2019-12-05T09:00:00-03:00,110655,111320,110135,110775,121610,140600.75
2019-12-06T09:00:00-03:00,110875,111655,110820,111303,111885,136648
2019-12-09T09:00:00-03:00,110950,111570,110910,111071,86830,134476.5
2019-12-10T09:00:00-03:00,110765,111325,110255,110705,129165,132630.25
2019-12-11T09:00:00-03:00,111070,111285,110605,111055,96355,129988.75
2019-12-12T09:00:00-03:00,111550,112595,111385,112458,148050,126587.25
2019-12-13T09:00:00-03:00,112600,112965,111880,112665,163595,126504.5
2019-12-16T09:00:00-03:00,112900,113345,111915,112176,102855,126701.75
2019-12-17T09:00:00-03:00,112350,112815,111945,112629,124615,124835.75
2019-12-18T09:00:00-03:00,113015,114990,113000,114881,137005,126329.25
2019-12-19T09:00:00-03:00,114755,115890,114325,115728,132270,127065.75
2019-12-20T09:00:00-03:00,115550,116025,115125,115759,113535,127309.25
2019-12-23T09:00:00-03:00,115880,116400,115540,116319,64050,125737
2019-12-26T09:00:00-03:00,116500,117925,116230,117858,86435,122390.25
2019-12-27T09:00:00-03:00,117860,118565,116570,116938,125410,121114
