"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.11.2017","72.892","74.315","74.695","72.785","103,35K","-2,25%"
"30.11.2017","72.027","73.055","73.150","71.440","133,86K","-1,19%"
"01.12.2017","72.418","71.680","72.620","71.275","93,52K","0,54%"
"04.12.2017","73.184","72.835","73.895","72.480","78,96K","1,06%"
"05.12.2017","72.544","72.865","74.300","72.340","112,91K","-0,87%"
"06.12.2017","73.432","72.200","73.565","71.940","111,11K","1,22%"
"07.12.2017","72.495","73.005","73.055","71.335","135,16K","-1,28%"
"08.12.2017","72.780","73.210","73.470","72.600","59,23K","0,39%"
"11.12.2017","72.879","72.950","73.440","72.465","53,47K","0,14%"
"12.12.2017","73.926","72.880","74.395","71.770","94,77K","1,44%"
"13.12.2017","73.412","74.515","75.005","73.320","34,61K","-0,70%"
"14.12.2017","72.993","73.200","73.465","72.610","68,99K","-0,57%"
"15.12.2017","73.186","72.900","73.820","72.665","84,57K","0,26%"
"18.12.2017","73.811","73.565","74.255","73.500","47,40K","0,85%"
"19.12.2017","73.339","73.800","73.800","72.905","41,30K","-0,64%"
"20.12.2017","74.051","73.250","74.175","73.240","39,07K","0,97%"
"21.12.2017","75.819","74.220","75.900","73.775","70,25K","2,39%"
"22.12.2017","75.844","75.665","75.980","75.135","61,57K","0,03%"
"26.12.2017","76.447","75.780","76.500","75.560","36,12K","0,80%"
"27.12.2017","76.660","76.590","76.920","76.450","48,88K","0,28%"
"28.12.2017","76.843","76.925","76.970","76.730","26,03K","0,24%"
"02.01.2018","78.313","77.195","78.420","76.985","54,46K","1,91%"
"03.01.2018","78.457","78.385","78.975","78.055","57,38K","0,18%"
"04.01.2018","79.198","78.700","79.700","78.535","85,59K","0,94%"
"05.01.2018","79.481","79.500","79.635","78.690","60,78K","0,36%"
"08.01.2018","79.829","79.730","79.915","79.055","57,27K","0,44%"
"09.01.2018","79.242","79.750","79.925","79.100","67,50K","-0,74%"
"10.01.2018","78.638","78.850","79.025","78.510","57,03K","-0,76%"
"11.01.2018","79.790","78.605","79.845","78.540","53,63K","1,46%"
"12.01.2018","79.714","79.400","79.900","79.210","62,56K","-0,10%"
"15.01.2018","80.191","79.885","80.285","79.690","42,42K","0,60%"
"16.01.2018","80.161","80.470","80.645","79.985","73,28K","-0,04%"
"17.01.2018","81.586","80.115","81.640","80.045","76,97K","1,78%"
"18.01.2018","81.218","81.370","81.715","80.785","71,19K","-0,45%"
"19.01.2018","81.597","81.400","81.790","81.140","52,49K","0,47%"
"22.01.2018","81.908","81.400","81.985","81.165","49,94K","0,38%"
"23.01.2018","80.930","81.890","81.970","80.750","86,42K","-1,19%"
"24.01.2018","83.975","81.020","84.170","81.020","144,98K","3,76%"
"26.01.2018","85.769","84.560","85.900","84.120","103,68K","2,14%"
"29.01.2018","84.895","85.510","85.620","84.530","65,79K","-1,02%"
"30.01.2018","84.756","84.295","84.830","84.005","77,14K","-0,16%"
"31.01.2018","85.172","84.995","86.400","84.910","77,95K","0,49%"
"01.02.2018","85.608","85.450","86.250","84.840","82,55K","0,51%"
"02.02.2018","84.187","84.545","84.865","83.915","93,76K","-1,66%"
"05.02.2018","82.178","83.580","84.455","81.550","105,70K","-2,39%"
"06.02.2018","84.330","81.450","84.465","80.535","182,19K","2,62%"
"07.02.2018","82.772","83.920","84.530","82.545","106,78K","-1,85%"
"08.02.2018","81.557","82.500","83.590","81.100","120,23K","-1,47%"
"09.02.2018","81.015","81.480","82.005","79.655","128,12K","-0,66%"
"14.02.2018","83.273","82.800","83.290","82.390","8,14K","2,79%"
"15.02.2018","85.073","85.230","85.640","84.825","77,98K","2,16%"
"16.02.2018","85.355","85.420","85.505","84.650","65,56K","0,33%"
"19.02.2018","85.614","85.780","85.875","85.395","30,19K","0,30%"
"20.02.2018","86.584","85.145","87.195","85.040","97,53K","1,13%"
"21.02.2018","86.902","86.605","88.280","86.505","96,46K","0,37%"
"22.02.2018","87.486","87.015","88.035","86.765","88,21K","0,67%"
"23.02.2018","88.048","87.995","88.160","86.860","77,29K","0,64%"
"26.02.2018","88.451","88.600","89.160","88.045","79,15K","0,46%"
"27.02.2018","87.661","88.190","88.660","87.380","67,39K","-0,89%"
"28.02.2018","86.137","87.550","87.955","86.000","119,81K","-1,74%"
"01.03.2018","86.171","85.735","87.050","85.290","121,62K","0,04%"
"02.03.2018","86.516","85.635","86.605","84.565","89,77K","0,40%"
"05.03.2018","86.639","86.300","86.910","85.685","68,00K","0,14%"
"06.03.2018","86.313","87.300","87.665","86.105","81,67K","-0,38%"
"07.03.2018","86.109","85.675","86.300","84.990","83,43K","-0,24%"
"08.03.2018","85.583","86.250","86.435","85.025","79,42K","-0,61%"
"09.03.2018","87.002","85.405","87.055","85.360","86,60K","1,66%"
"12.03.2018","87.484","87.295","87.695","87.100","57,52K","0,55%"
"13.03.2018","87.020","87.615","87.975","86.600","83,51K","-0,53%"
"14.03.2018","86.620","87.425","87.585","86.195","79,34K","-0,46%"
"15.03.2018","85.445","86.510","86.525","85.165","75,47K","-1,36%"
"16.03.2018","85.259","85.445","86.020","84.970","64,51K","-0,22%"
"19.03.2018","84.359","84.585","85.090","84.065","84,47K","-1,06%"
"20.03.2018","84.606","84.790","84.920","84.125","68,77K","0,29%"
"21.03.2018","85.421","84.475","85.635","84.390","81,73K","0,96%"
"22.03.2018","84.939","85.355","85.945","84.515","133,18K","-0,56%"
"23.03.2018","84.719","84.290","85.905","84.200","125,48K","-0,26%"
"26.03.2018","85.455","85.700","85.935","84.610","77,85K","0,87%"
"27.03.2018","84.029","85.985","86.100","83.790","95,01K","-1,67%"
"28.03.2018","84.153","83.725","84.325","83.130","91,27K","0,15%"
